,0,1,2,3,4,5,6,7,8,9
count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mean,0.6943738460540771,0.05816793441772461,-2.544360876083374,-3.0905025005340576,-1.8384730815887451,-1.0169258117675781,-0.30890870094299316,-0.30362844467163086,5.9604644775390625e-06,-0.0902566909790039
std,,,,,,,,,,
min,0.6943738460540771,0.05816793441772461,-2.544360876083374,-3.0905025005340576,-1.8384730815887451,-1.0169258117675781,-0.30890870094299316,-0.30362844467163086,5.9604644775390625e-06,-0.0902566909790039
25%,0.6943738460540771,0.05816793441772461,-2.544360876083374,-3.0905025005340576,-1.8384730815887451,-1.0169258117675781,-0.30890870094299316,-0.30362844467163086,5.9604644775390625e-06,-0.0902566909790039
50%,0.6943738460540771,0.05816793441772461,-2.544360876083374,-3.0905025005340576,-1.8384730815887451,-1.0169258117675781,-0.30890870094299316,-0.30362844467163086,5.9604644775390625e-06,-0.0902566909790039
75%,0.6943738460540771,0.05816793441772461,-2.544360876083374,-3.0905025005340576,-1.8384730815887451,-1.0169258117675781,-0.30890870094299316,-0.30362844467163086,5.9604644775390625e-06,-0.0902566909790039
max,0.6943738460540771,0.05816793441772461,-2.544360876083374,-3.0905025005340576,-1.8384730815887451,-1.0169258117675781,-0.30890870094299316,-0.30362844467163086,5.9604644775390625e-06,-0.0902566909790039
